id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	51	55	90	25	10	39	14	14
3	0	72	90	146	56	0	74	18	18
1	0	0	0	152	46	32	152	106	32
4	0	427	427	447	20	0	20	0	0
5	0	434	447	463	6	10	29	23	23
6	0	556	556	637	18	63	81	63	63
9	0	817	817	822	5	0	5	0	0
7	0	745	745	838	24	69	93	69	69
10	0	862	866	892	14	9	30	16	13
8	0	749	755	915	111	44	166	55	50
12	0	1255	1255	1294	39	0	39	0	0
11	0	1227	1227	1297	23	10	70	47	10
13	0	1271	1297	1320	21	2	49	28	28
14	0	1284	1306	1357	38	5	73	35	27
15	0	1362	1362	1373	11	0	11	0	0
16	0	1406	1406	1449	15	28	43	28	28
17	0	1484	1484	1577	81	12	93	12	12
18	0	1815	1815	1827	12	0	12	0	0
19	0	1976	1976	2029	49	4	53	4	4
20	0	2112	2112	2169	35	22	57	22	22
0	0	0	0	2169	1520	0	2169	649	0
