id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	51	51	101	25	10	50	25	10
1	4	0	0	127	46	32	127	81	32
3	6	72	72	148	56	0	76	20	0
5	0	434	434	450	6	10	16	10	10
4	1	427	427	453	20	0	26	6	0
6	1	556	556	637	18	63	81	63	63
9	0	817	817	822	5	0	5	0	0
7	2	745	745	848	24	69	103	79	69
10	0	862	862	885	14	9	23	9	9
8	10	749	749	938	111	44	189	78	44
13	0	1271	1271	1305	21	2	34	13	2
14	3	1284	1284	1352	38	5	68	30	5
12	4	1255	1255	1353	39	0	98	59	0
11	4	1227	1227	1356	23	10	129	106	10
15	2	1362	1362	1373	11	0	11	0	0
16	2	1406	1406	1449	15	28	43	28	28
17	8	1484	1484	1577	81	12	93	12	12
18	1	1815	1815	1827	12	0	12	0	0
19	4	1976	1976	2029	49	4	53	4	4
20	2	2112	2112	2169	35	22	57	22	22
0	0	0	0	2169	1520	0	2169	649	0
