id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	96	46	32	96	50	32
2	0	51	55	106	25	10	55	30	14
3	0	72	80	152	56	0	80	24	8
4	0	427	427	450	20	0	23	3	0
5	0	434	437	453	6	10	19	13	13
6	0	556	556	637	18	63	81	63	63
9	0	817	817	822	5	0	5	0	0
7	0	745	745	848	24	69	103	79	69
10	0	862	866	892	14	9	30	16	13
8	0	749	755	915	111	44	166	55	50
11	0	1227	1227	1268	23	10	41	18	10
12	0	1255	1255	1317	39	0	62	23	0
13	0	1271	1278	1329	21	2	58	37	9
14	0	1284	1297	1356	38	5	72	34	18
15	0	1362	1362	1373	11	0	11	0	0
16	0	1406	1406	1449	15	28	43	28	28
17	0	1484	1484	1577	81	12	93	12	12
18	0	1815	1815	1827	12	0	12	0	0
19	0	1976	1976	2029	49	4	53	4	4
20	0	2112	2112	2169	35	22	57	22	22
0	0	0	0	2169	1520	0	2169	649	0
