id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	12	0	12	0	0
2	0	433	433	435	2	0	2	0	0
3	0	465	465	522	35	22	57	22	22
4	0	613	613	642	29	0	29	0	0
5	0	640	642	799	90	67	159	69	69
7	0	992	992	1006	14	0	14	0	0
6	0	926	926	1013	40	41	87	47	41
8	0	1001	1013	1213	100	72	212	112	84
9	0	1149	1159	1298	67	3	149	82	13
11	0	1200	1213	1340	70	17	140	70	30
10	0	1185	1233	1379	66	51	194	128	99
12	0	1379	1379	1381	2	0	2	0	0
13	0	1614	1614	1636	13	9	22	9	9
14	0	1792	1792	1795	3	0	3	0	0
15	0	1954	1954	1989	18	17	35	17	17
16	0	2035	2035	2089	50	2	54	4	2
17	0	2038	2075	2099	14	10	61	47	47
18	0	2206	2206	2233	27	0	27	0	0
19	0	2389	2389	2448	35	24	59	24	24
21	0	2829	2864	2876	12	0	47	35	35
20	0	2821	2821	2877	44	7	56	12	7
22	0	2960	2960	2961	1	0	1	0	0
23	0	3089	3089	3134	14	31	45	31	31
24	0	3170	3170	3272	60	42	102	42	42
26	0	3406	3406	3412	6	0	6	0	0
25	0	3380	3380	3475	64	31	95	31	31
27	0	3497	3497	3650	135	9	153	18	9
28	0	3555	3558	3652	14	10	97	83	13
29	0	3691	3691	3733	36	6	42	6	6
30	0	3723	3733	3767	34	0	44	10	10
0	0	0	0	3767	2660	0	3767	1107	0
