id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	12	0	12	0	0
2	0	433	433	435	2	0	2	0	0
3	4	465	465	522	35	22	57	22	22
4	0	613	613	642	29	0	29	0	0
5	21	640	642	799	90	67	159	69	69
7	0	992	992	1006	14	0	14	0	0
6	8	926	926	1020	40	41	94	54	41
9	18	1149	1152	1266	67	3	117	50	6
10	13	1185	1189	1313	66	51	128	62	55
11	9	1200	1216	1355	70	17	155	85	33
8	27	1001	1006	1372	100	72	371	271	77
12	0	1379	1379	1381	2	0	2	0	0
13	2	1614	1614	1636	13	9	22	9	9
14	0	1792	1792	1795	3	0	3	0	0
15	5	1954	1954	1989	18	17	35	17	17
16	20	2035	2035	2089	50	2	54	4	2
17	2	2038	2075	2099	14	10	61	47	47
18	0	2206	2206	2233	27	0	27	0	0
19	4	2389	2389	2448	35	24	59	24	24
21	0	2829	2864	2876	12	0	47	35	35
20	21	2821	2821	2877	44	7	56	12	7
22	0	2960	2960	2961	1	0	1	0	0
23	4	3089	3089	3134	14	31	45	31	31
24	11	3170	3170	3272	60	42	102	42	42
26	0	3406	3406	3412	6	0	6	0	0
25	5	3380	3380	3475	64	31	95	31	31
27	30	3497	3497	3650	135	9	153	18	9
28	5	3555	3558	3652	14	10	97	83	13
29	9	3691	3691	3733	36	6	42	6	6
30	0	3723	3733	3767	34	0	44	10	10
0	0	0	0	3767	2660	0	3767	1107	0
