id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	10	69	69	285	96	0	216	120	0
1	15	0	0	555	133	52	555	422	52
4	19	374	374	620	195	14	246	51	14
3	32	77	77	757	269	12	680	411	12
5	6	1008	1008	1078	70	0	70	0	0
7	0	1596	1596	1610	11	3	14	3	3
8	0	1654	1654	1661	7	0	7	0	0
9	4	1871	1871	1975	59	0	104	45	0
10	24	1902	1902	2177	247	8	275	28	8
6	40	1572	1572	2299	395	14	727	332	14
12	4	2506	2506	2568	42	0	62	20	0
11	27	2468	2468	2786	275	1	318	43	1
14	3	2932	2932	2966	34	0	34	0	0
13	4	2889	2889	2971	48	0	82	34	0
15	1	3053	3053	3071	18	0	18	0	0
19	2	3208	3208	3263	24	0	55	31	0
17	9	3164	3164	3499	121	18	335	214	18
20	1	3540	3540	3556	16	0	16	0	0
22	4	3786	3786	3832	46	0	46	0	0
24	7	3923	3923	3995	72	0	72	0	0
23	8	3833	3833	4001	96	0	168	72	0
16	22	3140	3140	4266	238	52	1126	888	52
18	25	3169	3169	4353	297	5	1184	887	5
25	18	4278	4278	4529	201	50	251	50	50
21	68	3616	3616	4975	707	14	1359	652	14
0	0	0	0	4975	1258	0	4975	3717	0
