id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	185	133	52	185	52	52
2	0	69	185	281	96	0	212	116	116
3	0	77	281	570	269	12	493	224	216
4	0	374	527	745	195	14	371	176	167
5	0	1008	1008	1078	70	0	70	0	0
8	0	1654	1845	1852	7	0	198	191	191
6	0	1572	1572	1982	395	14	410	15	14
7	0	1596	1852	1985	11	3	389	378	259
9	0	1871	1990	2049	59	0	178	119	119
10	0	1902	1985	2291	247	8	389	142	91
12	0	2506	2598	2640	42	0	134	92	92
11	0	2468	2468	2785	275	1	317	42	1
13	0	2889	2889	2937	48	0	48	0	0
14	0	2932	2937	2971	34	0	39	5	5
15	0	3053	3053	3071	18	0	18	0	0
19	0	3208	3224	3248	24	0	40	16	16
17	0	3164	3164	3372	121	18	208	87	18
18	0	3169	3194	3684	297	5	515	218	30
20	0	3540	3684	3700	16	0	160	144	144
22	0	3786	4033	4079	46	0	293	247	247
24	0	3923	4079	4151	72	0	228	156	156
16	0	3140	3140	4236	238	52	1096	858	52
23	0	3833	4236	4332	96	0	499	403	403
21	0	3616	3734	4797	707	14	1181	474	132
25	0	4278	4332	4967	201	50	689	488	104
0	0	0	0	4967	1250	0	4967	3717	0
