id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	54	54	167	113	0	113	0	0
3	16	68	167	302	101	10	234	133	109
4	17	150	200	324	56	1	174	118	51
5	0	345	345	524	179	0	179	0	0
6	10	711	711	771	55	5	60	5	5
7	11	821	821	1114	292	1	293	1	1
11	0	1408	1514	1536	22	0	128	106	106
9	34	942	1333	1550	83	7	608	525	398
10	56	1080	1402	1569	131	2	489	358	324
8	109	896	1114	1588	238	14	692	454	232
13	0	1704	1856	1870	14	0	166	152	152
12	83	1593	1593	1951	339	16	358	19	16
14	43	2096	2096	2252	152	4	156	4	4
15	0	2391	2391	2534	143	0	143	0	0
16	1	2451	2534	2600	39	27	149	110	110
17	25	2699	2699	2924	117	9	225	108	9
18	54	2723	2749	3302	135	8	579	444	34
21	0	3293	3302	3320	18	0	27	9	9
20	80	3089	3114	3393	234	13	304	70	38
22	1	3485	3602	3889	98	22	404	306	139
25	0	3797	3889	3947	58	0	150	92	92
23	34	3502	3604	4020	141	6	518	377	108
19	152	2907	2924	4087	433	44	1180	747	61
24	46	3536	3672	4222	289	13	686	397	149
0	0	0	0	4222	736	0	4222	3486	0
