id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	44	22	22	44	22	22
4	0	82	83	86	3	0	4	1	1
3	0	69	69	176	33	45	107	74	45
2	0	46	46	206	55	75	160	105	75
5	0	526	526	589	63	0	63	0	0
6	0	780	780	796	7	9	16	9	9
7	0	800	800	808	8	0	8	0	0
8	0	901	901	908	7	0	7	0	0
9	0	1090	1090	1196	70	36	106	36	36
11	0	1229	1229	1309	33	27	80	47	27
10	0	1215	1215	1442	76	42	227	151	42
13	0	1294	1312	1445	21	65	151	130	83
14	0	1303	1328	1462	47	0	159	112	25
12	0	1271	1279	1466	29	84	195	166	92
15	0	1335	1350	1547	70	66	212	142	81
16	0	1627	1627	1645	12	6	18	6	6
17	0	1753	1753	1806	20	33	53	33	33
19	0	1936	1936	1982	37	5	46	9	5
20	0	1954	1954	2008	20	33	54	34	33
18	0	1921	1921	2038	38	79	117	79	79
22	0	2392	2396	2398	2	0	6	4	4
21	0	2386	2386	2401	13	0	15	2	0
23	0	2541	2541	2652	90	21	111	21	21
24	0	2728	2728	2803	57	18	75	18	18
25	0	2744	2744	2832	32	55	88	56	55
0	0	0	0	2832	1967	0	2832	865	0
